1722002698410.00, 0, -594844, -10 
1722002698431.00, 0, -594845, -10 
1722002698452.00, 0, -594844, -10 
1722002698473.00, 0, -594845, -10 
1722002698494.00, 0, -594845, -10 
1722002698521.00, 0, -594845, -9 
1722002698537.00, 0, -594844, -9 
1722002698558.00, 0, -594844, -9 
1722002698578.00, 0, -594845, -9 
1722002698600.00, 0, -594845, -8 
1722002698625.00, 0, -594844, -8 
1722002698642.00, 0, -594845, -8 
1722002698663.00, 0, -594845, -8 
1722002698684.00, 0, -594845, -8 
1722002698705.00, 0, -594844, -8 
1722002698727.00, 0, -594844, -8 
1722002698748.00, 0, -594843, -7 
1722002698769.00, 0, -594844, -8 
1722002698790.00, 0, -594844, -8 
1722002698811.00, 0, -594844, -9 
1722002698832.00, 0, -594845, -9 
1722002698853.00, 0, -594845, -9 
1722002698874.00, 0, -594844, -8 
1722002698896.00, 0, -594845, -7 
1722002698916.00, 0, -594844, -7 
1722002698938.00, 0, -594845, -8 
1722002698959.00, 0, -594845, -7 
1722002698980.00, 0, -594845, -7 
1722002699001.00, 0, -594845, -6 
1722002699022.00, 0, -594844, -6 
1722002699043.00, 0, -594844, -6 
1722002699065.00, 0, -594844, -5 
1722002699086.00, 0, -594845, -4 
1722002699107.00, 0, -594845, -3 
1722002699128.00, 0, -594844, -2 
1722002699149.00, 0, -594844, 0 
1722002699171.00, 0, -594844, 0 
1722002699191.00, 64, -594843, 1 
1722002699212.00, 0, -594845, 3 
1722002699233.00, 0, -594844, 10 
1722002699254.00, 0, -594843, 19 
1722002699276.00, 1537, -594841, 42 
1722002699297.00, 3666, -594830, 57 
1722002699319.00, 5718, -594755, 79 
1722002699340.00, 8115, -594630, 105 
1722002699362.00, 11054, -594453, 129 
1722002699385.00, 14415, -594210, 145 
1722002699405.00, 17383, -593894, 162 
1722002699427.00, 20155, -593520, 174 
1722002699448.00, 22408, -593091, 181 
1722002699469.00, 24124, -592610, 181 
1722002699491.00, 25114, -592096, 165 
1722002699513.00, 24790, -591555, 138 
1722002699535.00, 22968, -591020, 116 
1722002699557.00, 20271, -590519, 94 
1722002699577.00, 17461, -590078, 72 
1722002699599.00, 14289, -589699, 44 
1722002699621.00, 10917, -589388, 18 
1722002699643.00, 7534, -589152, -11 
1722002699663.00, 3464, -588991, -39 
1722002699686.00, -96, -588912, -67 
1722002699707.00, -4131, -588911, -95 
1722002699729.00, -8284, -588988, -120 
1722002699750.00, -12446, -589161, -140 
1722002699771.00, -16021, -589425, -156 
1722002699793.00, -19084, -589764, -166 
1722002699815.00, -21225, -590172, -173 
1722002699837.00, -22897, -590634, -181 
1722002699858.00, -24490, -591136, -186 
1722002699894.00, -25686, -591667, -189 
1722002699901.00, -26843, -592223, -190 
1722002699923.00, -27606, -592799, -188 
1722002699945.00, -16518, -593388, -187 
1722002699966.00, -9813, -593758, -187 
1722002699988.00, -5612, -593975, -173 
1722002700010.00, -3115, -594103, -157 
1722002700031.00, -1711, -594174, -137 
1722002700052.00, -1028, -594216, -134 
1722002700074.00, -667, -594236, -134 
1722002700095.00, -259, -594247, -116 
1722002700117.00, -129, -594253, -99 
1722002700138.00, -15, -594255, -89 
1722002700159.00, 0, -594256, -86 
1722002700181.00, 0, -594257, -67 
1722002700202.00, 33, -594255, -42 
1722002700223.00, 0, -594254, -19 
1722002700244.00, 0, -594254, -9 
1722002700265.00, 0, -594254, -11 
1722002700287.00, 0, -594253, -10 
1722002700307.00, 0, -594254, -20 
1722002700329.00, 1, -594256, -49 
1722002700350.00, 0, -594256, -43 
1722002700373.00, 0, -594254, -15 
1722002700392.00, 0, -594253, 6 
1722002700414.00, 0, -594254, -38 
1722002700435.00, 65, -594255, -43 
1722002700456.00, 0, -594254, -34 
1722002700477.00, -2, -594253, -23 
1722002700498.00, 0, -594255, -34 
1722002700520.00, 0, -594254, -45 
1722002700541.00, 0, -594255, -48 
1722002700562.00, 0, -594254, -40 
1722002700583.00, 0, -594255, -41 
1722002700604.00, 0, -594255, -46 
1722002700626.00, 0, -594255, -47 
1722002700647.00, 0, -594255, -44 
1722002700668.00, 0, -594254, -42 
1722002700690.00, 0, -594255, -43 
1722002700711.00, 0, -594255, -43 
1722002700731.00, 0, -594256, -42 
1722002700753.00, 0, -594256, -43 
1722002700775.00, 1, -594255, -44 
1722002700795.00, -4, -594256, -45 
1722002700817.00, 6, -594255, -45 
1722002700838.00, 3, -594255, -46 
1722002700860.00, 32, -594255, -47 
1722002700881.00, 0, -594256, -48 
1722002700902.00, 0, -594256, -47 
1722002700924.00, 0, -594255, -46 
1722002700945.00, 0, -594255, -46 
1722002700965.00, 0, -594255, -47 
1722002700987.00, 0, -594256, -47 
1722002701008.00, 0, -594255, -47 
1722002701029.00, 0, -594256, -48 
1722002701050.00, 0, -594255, -49 
